instrument_token,trading_symbol,instrument_type,lot_size,tick_size,isin,segment,expiry,strike,option_type,exchange_token,exchange,last_price,margin_rate
101000000010195,SDL AS 7.53% 2027,5,100,0.01,IN1220220025,0,2024-10-04,,,10,NSE,753AS27,-1.0
101000000010196,SDL GJ 7.82% 2032,5,100,0.01,IN1520220030,0,2024-10-04,,,10,NSE,782GJ32,-1.0
101000000010197,SDL AS 7.85% 2032,5,100,0.01,IN1220220033,0,2024-10-04,,,10,NSE,785AS32,-1.0
101000000010198,SDL MP 7.85% 2032,5,100,0.01,IN2120220016,0,2024-10-04,,,10,NSE,785MP32,-1.0
101000000010201,ICICI-MULTI-6-3000-2026,2,1,0.01,INE090A08SP8,0,2024-10-04,,,10,NSE,ICICM58,-1.0
101000000010202,SDL HR 7.86% 2032,5,100,0.01,IN1620220112,0,2024-10-04,,,10,NSE,786HR32,-1.0
101000000010203,SDL AP 7.93% 2033,5,100,0.01,IN1020220233,0,2024-10-04,,,10,NSE,793AP33,-1.0
101000000010204,SDL TS 7.93% 2034,5,100,0.01,IN4520220026,0,2024-10-04,,,10,NSE,793TS34,-1.0
101000000010205,SDL HR 7.94% 2034,5,100,0.01,IN1620220120,0,2024-10-04,,,10,NSE,794HR34,-1.0
101000000010206,SDL AP 7.94% 2034,5,100,0.01,IN1020220241,0,2024-10-04,,,10,NSE,794AP34,-1.0
101000000010207,SDL TS 7.93% 2035,5,100,0.01,IN4520220034,0,2024-10-04,,,10,NSE,793TS35,-1.0
101000000010212,SDL TS 7.94% 2036,5,100,0.01,IN4520220042,0,2024-10-04,,,10,NSE,794TS36,-1.0
101000000010213,SDL WB 7.96% 2037,5,100,0.01,IN3420220037,0,2024-10-04,,,10,NSE,796WB37,-1.0
101000000010214,SDL AP 7.95% 2038,5,100,0.01,IN1020220258,0,2024-10-04,,,10,NSE,795AP38,-1.0
101000000010215,SDL AP 7.95% 2039,5,100,0.01,IN1020220266,0,2024-10-04,,,10,NSE,795AP39,-1.0
101000000010216,SDL AP 7.95% 2040,5,100,0.01,IN1020220274,0,2024-10-04,,,10,NSE,795AP40,-1.0
101000000010217,ADANI ENERGY SOLUTION LTD,0,1,0.05,INE931S01010,0,2024-10-04,,,10,NSE,ADANIENSOL,-1.0
101000000010218,SDL AP 7.92% 2042,5,100,0.01,IN1020220282,0,2024-10-04,,,10,NSE,792AP42,-1.0
101000000010219,SDL RJ 7.81% 2047,5,100,0.01,IN2920220075,0,2024-10-04,,,10,NSE,781RJ47,-1.0
101000000010227,MANORAMA INDUSTRIES LTD,0,1,0.05,INE00VM01036,0,2024-10-04,,,10,NSE,MANORAMA,-1.0
10100000001023,FEDERAL BANK LTD,0,1,0.01,INE171A01029,0,2024-10-04,,,10,NSE,FEDERALBNK,-1.0
101000000010232,2.50%GOLDBONDS2030SR-I,2,1,0.01,IN0020220045,0,2024-10-04,,,10,NSE,SGBJUN30,-1.0
101000000010233,SDL GJ 7.65% 2029,5,100,0.01,IN1520220048,0,2024-10-04,,,10,NSE,765GJ29,-1.0
101000000010234,SDL TN 7.65% 2029,5,100,0.01,IN3120220063,0,2024-10-04,,,10,NSE,765TN29,-1.0
101000000010235,SDL HP 7.76% 2030,5,100,0.01,IN1720220012,0,2024-10-04,,,10,NSE,776HP30,-1.0
101000000010238,CONFIDENCE PETRO IND LTD.,0,1,0.01,INE552D01024,0,2024-10-04,,,10,NSE,CONFIPET,-1.0
101000000010243,SYNGENE INTERNATIONAL LTD,0,1,0.05,INE398R01022,0,2024-10-04,,,10,NSE,SYNGENE,-1.0
101000000010246,SDL AS 7.82% 2032,5,100,0.01,IN1220220041,0,2024-10-04,,,10,NSE,782AS32,-1.0
101000000010247,SDL HP 7.82% 2032,5,100,0.01,IN1720220020,0,2024-10-04,,,10,NSE,782HP32,-1.0
101000000010252,SDL WB 7.82% 2032,5,100,0.01,IN3420220045,0,2024-10-04,,,10,NSE,782WB32,-1.0
101000000010253,EMKAY TAP & CUT. TOOL LTD,0,300,0.05,INE332S01011,0,2024-10-04,,,10,NSE,EMKAYTOOLS,-1.0
101000000010255,SDL AP 7.95% 2040,5,100,0.01,IN1020220290,0,2024-10-04,,,10,NSE,795AP40A,-1.0
101000000010257,SDL AP 7.92% 2042,5,100,0.01,IN1020220308,0,2024-10-04,,,10,NSE,792AP42A,-1.0
101000000010261,2.50%GOLDBONDS2027SR-I,2,1,0.01,IN0020190073,0,2024-10-04,,,10,NSE,SGBJUN27,-1.0
101000000010268,SDL PN 8.04% 2042,5,100,0.01,IN2820220035,0,2024-10-04,,,10,NSE,804PN42,-1.0
101000000010269,SDL TS 7.91% 2043,5,100,0.01,IN4520220059,0,2024-10-04,,,10,NSE,791TS43,-1.0
101000000010271,SDL TS 7.9% 2044,5,100,0.01,IN4520220067,0,2024-10-04,,,10,NSE,79TS44,-1.0
101000000010272,SDL TS 7.92% 2045,5,100,0.01,IN4520220075,0,2024-10-04,,,10,NSE,792TS45,-1.0
101000000010277,NGL FINE CHEM LIMITED,0,1,0.05,INE887E01022,0,2024-10-04,,,10,NSE,NGLFINE,-1.0
101000000010282,KAYA LIMITED,0,1,0.05,INE587G01015,0,2024-10-04,,,10,NSE,KAYA,-1.0
101000000010289,AYM SYNTEX LIMITED,0,1,0.01,INE193B01039,0,2024-10-04,,,10,NSE,AYMSYNTEX,-1.0
101000000010293,KCK INDUSTRIES LTD,0,2000,0.05,INE0J1E01019,0,2024-10-04,,,10,NSE,KCK,-1.0
101000000010297,PRAKASH PIPES LIMITED,0,1,0.05,INE050001010,0,2024-10-04,,,10,NSE,PPL,-1.0
10100000001030,AARON INDUSTRIES LIMITED,0,1,0.05,INE721Z01010,0,2024-10-04,,,10,NSE,AARON,-1.0
101000000010300,RAMA STEEL TUBES LIMITED,0,1,0.01,INE230R01035,0,2024-10-04,,,10,NSE,RAMASTEEL,-1.0
101000000010311,MANGALAM WORLDWIDE LTD,0,1200,0.05,INE0JYY01011,0,2024-10-04,,,10,NSE,MWL,-1.0
101000000010314,AURUM PROPTECH LIMITED,0,1,0.01,INE898S01029,0,2024-10-04,,,10,NSE,AURUM,-1.0
101000000010321,THE P K TEA PROD CO LTD,0,1,0.05,INE431F01018,0,2024-10-04,,,10,NSE,PKTEA,-1.0
101000000010325,SKP BEARING INDUSTRI. LTD,0,500,0.05,INE0KZA01016,0,2024-10-04,,,10,NSE,SKP,-1.0
101000000010330,SDL ML 7.78% 2031,5,100,0.01,IN2420220021,0,2024-10-04,,,10,NSE,778ML31,-1.0
101000000010331,SDL HR 7.81% 2032,5,100,0.01,IN1620220138,0,2024-10-04,,,10,NSE,781HR32A,-1.0
101000000010332,SDL HR 7.9% 2034,5,100,0.01,IN1620220146,0,2024-10-04,,,10,NSE,79HR34,-1.0
101000000010333,SDL PN 7.94% 2042,5,100,0.01,IN2820220043,0,2024-10-04,,,10,NSE,794PN42,-1.0
101000000010334,SDL TS 7.89% 2034,5,100,0.01,IN4520220083,0,2024-10-04,,,10,NSE,789TS34,-1.0
101000000010336,SDL AP 7.97% 2039,5,100,0.01,IN1020220316,0,2024-10-04,,,10,NSE,797AP39,-1.0
101000000010337,SDL AP 7.92% 2041,5,100,0.01,IN1020220324,0,2024-10-04,,,10,NSE,792AP41,-1.0
101000000010338,SDL TN 7.87% 2033,5,100,0.01,IN3120220071,0,2024-10-04,,,10,NSE,787TN33,-1.0
101000000010343,RADHIKA JEWELTECH LIMITED,0,1,0.01,INE583V01021,0,2024-10-04,,,10,NSE,RADHIKAJWE,-1.0
101000000010350,CSL FINANCE LIMITED,0,1,0.05,INE718F01018,0,2024-10-04,,,10,NSE,CSLFINANCE,-1.0
101000000010355,SDL AP 8.03% 2036,5,100,0.01,IN1020220332,0,2024-10-04,,,10,NSE,803AP36,-1.0
101000000010357,SDL AS 7.83% 2032,5,100,0.01,IN1220220058,0,2024-10-04,,,10,NSE,783AS32,-1.0
101000000010358,DIGICONTENT LIMITED,0,1,0.01,INE03JI01017,0,2024-10-04,,,10,NSE,DGCONTENT,-1.0
101000000010366,UNIVA FOODS LIMITED,0,1,0.01,INE275F01019,0,2024-10-04,,,10,NSE,UNIVAFOODS,-1.0
101000000010367,SDL GJ 7.8% 2032,5,100,0.01,IN1520220055,0,2024-10-04,,,10,NSE,78GJ32A,-1.0
101000000010368,SDL MN 7.83% 2032,5,100,0.01,IN2320220030,0,2024-10-04,,,10,NSE,783MN32,-1.0
101000000010370,MODERN THREADS INDIA LTD,0,1,0.01,INE794W01014,0,2024-10-04,,,10,NSE,MODTHREAD,-1.0
101000000010374,SDL MZ 8.02% 2036,5,100,0.01,IN2520220038,0,2024-10-04,,,10,NSE,802MZ36,-1.0
10100000001038,FINOLEX CABLES LTD,0,1,0.05,INE235A01022,0,2024-10-04,,,10,NSE,FINCABLES,-1.0
101000000010381,SDL RJ 7.98% 2042,5,100,0.01,IN2920220083,0,2024-10-04,,,10,NSE,798RJ42,-1.0
101000000010382,SDL TS 7.95% 2035,5,100,0.01,IN4520220091,0,2024-10-04,,,10,NSE,795TS35,-1.0
101000000010383,SDL AP 8.02% 2038,5,100,0.01,IN1020220340,0,2024-10-04,,,10,NSE,802AP38,-1.0
101000000010384,SDL WB 8.02% 2037,5,100,0.01,IN3420220052,0,2024-10-04,,,10,NSE,802WB37,-1.0
101000000010393,SDL WB 8.01% 2041,5,100,0.01,IN3420220060,0,2024-10-04,,,10,NSE,801WB41,-1.0
101000000010394,SDL PN 7.85% 2032,5,100,0.01,IN2820220050,0,2024-10-04,,,10,NSE,785PN32,-1.0
101000000010397,JAIN IRRIGATION SYSTEMS,0,1,0.01,INE175A01038,0,2024-10-04,,,10,NSE,JISLJALEQS,-1.0
1010000000104,SHARE IND. SECURITIES LTD,0,1,0.05,INE932X01026,0,2024-10-04,,,10,NSE,SHAREINDIA,-1.0
101000000010406,STEEL CITY SECURITIES LTD,0,1,0.01,INE395H01011,0,2024-10-04,,,10,NSE,STEELCITY,-1.0
10100000001041,FINOLEX INDUSTRIES LTD,0,1,0.05,INE183A01024,0,2024-10-04,,,10,NSE,FINPIPE,-1.0
101000000010412,KSHITIJ POLYLINE LIMITED,0,1,0.01,INE013801027,0,2024-10-04,,,10,NSE,KSHITIJPOL,-1.0
101000000010415,MUTHOOT CAP SERV LTD,0,1,0.05,INE296G01013,0,2024-10-04,,,10,NSE,MUTHOOTCAP,-1.0
101000000010417,DYNAMIC CABLES LIMITED,0,1,0.05,INE600Y01019,0,2024-10-04,,,10,NSE,DYCL,-1.0
101000000010435,ORIENTAL INFRATRUST,4,200000,0.01,INE07Z523018,0,2024-10-04,,,10,NSE,OSEINTRUST,-1.0
10100000001044,AXISAMC - AXISBNKETF,9,1,0.01,INF846K01X63,0,2024-10-04,,,10,NSE,AXISBNKETF,-1.0
101000000010440,LUPIN LIMITED,0,1,0.05,INE326A01037,0,2024-10-04,,,10,NSE,LUPIN,-1.0
101000000010447,UNITED SPIRITS LIMITED,0,1,0.05,INE854D01024,0,2024-10-04,,,10,NSE,UNITDSPR,-1.0
101000000010452,SDL TN 7.64% 2029,5,100,0.01,IN3120220089,0,2024-10-04,,,10,NSE,764TN29,-1.0
101000000010453,SATIN CREDIT NET LTD,0,1,0.01,INE836B01017,0,2024-10-04,,,10,NSE,SATIN,-1.0
101000000010454,SDL WB 7.97% 2042,5,100,0.01,IN3420220086,0,2024-10-04,,,10,NSE,797WB42,-1.0
101000000010457,ARVIND SMARTSPACES LTD,0,1,0.05,INE034S01021,0,2024-10-04,,,10,NSE,ARVSMART,-1.0
101000000010458,SDL AP 7.79% 2031,5,100,0.01,IN1020220357,0,2024-10-04,,,10,NSE,779AP31,-1.0
101000000010459,SDL GJ 7.77% 2032,5,100,0.01,IN1520220063,0,2024-10-04,,,10,NSE,777GJ32,-1.0
101000000010460,SDL TN 7.8% 2032,5,100,0.01,IN3120220097,0,2024-10-04,,,10,NSE,78TN32A,-1.0
101000000010461,SDL HR 7.81% 2032,5,100,0.01,IN1620220153,0,2024-10-04,,,10,NSE,781HR32B,-1.0
101000000010462,SDL RJ 7.81% 2032,5,100,0.01,IN2920220091,0,2024-10-04,,,10,NSE,781RJ32,-1.0
101000000010463,SDL NL 7.82% 2032,5,100,0.01,IN2620220029,0,2024-10-04,,,10,NSE,782NL32,-1.0
101000000010470,SDL SK 7.82% 2032,5,100,0.01,IN3020220015,0,2024-10-04,,,10,NSE,782SK32,-1.0
101000000010471,SDL AP 8.04% 2037,5,100,0.01,IN1020220365,0,2024-10-04,,,10,NSE,804AP37,-1.0
101000000010473,POWER MECH PROJECTS LTD.,0,1,0.05,INE211R01019,0,2024-10-04,,,10,NSE,POWERMECH,-1.0
101000000010474,SDL RJ 8.05% 2037,5,100,0.01,IN2920220109,0,2024-10-04,,,10,NSE,805RJ37,-1.0
101000000010477,SDL JK 8.06% 2037,5,100,0.01,IN4920220030,0,2024-10-04,,,10,NSE,806JK37,-1.0
101000000010478,SDL WB 8.07% 2038,5,100,0.01,IN3420220078,0,2024-10-04,,,10,NSE,807WB38,-1.0
101000000010479,SDL HR 7.97% 2042,5,100,0.01,IN1620220161,0,2024-10-04,,,10,NSE,797HR42,-1.0
101000000010480,SDL RJ 7.97% 2042,5,100,0.01,IN2920220117,0,2024-10-04,,,10,NSE,797RJ42,-1.0
101000000010485,RAM RATNA WIRES LIMITED,0,1,0.05,INE207E01023,0,2024-10-04,,,10,NSE,RAMRAT,-1.0
101000000010491,AGNI GREEN POWER LTD,0,2500,0.05,INE0LF301013,0,2024-10-04,,,10,NSE,AGNI,-1.0
101000000010499,HDFCAMC - H1158D46DD,8,1,0.01,INF179KC1CV7,0,2024-10-04,,,10,NSE,H1158D46DD,-1.0
101000000010500,HDFCAMC - H1158D46DG,8,1,0.01,INF179KC1CU9,0,2024-10-04,,,10,NSE,H1158D46DG,-1.0
101000000010501,HDFCAMC - H1158D46DQ,8,1,0.01,INF179KC1CW5,0,2024-10-04,,,10,NSE,H1158D46DQ,-1.0
101000000010503,HDFCAMC - H1158D46RD,8,1,0.01,INF179KC1CY1,0,2024-10-04,,,10,NSE,H1158D46RD,-1.0
101000000010505,HDFCAMC - H1158D46RG,8,1,0.01,INF179KC1CX3,0,2024-10-04,,,10,NSE,H1158D46RG,-1.0
101000000010507,HDFCAMC - H1158D46RQ,8,1,0.01,INF179KC1CZ8,0,2024-10-04,,,10,NSE,H1158D46RQ,-1.0
101000000010508,MOTILALAMC - MOHEALTH,9,1,0.01,INF247L01BB1,0,2024-10-04,,,10,NSE,MOHEALTH,-1.0
101000000010511,UTIAMC - UTINIFTETF,9,1,0.01,INF789F1AZC0,0,2024-10-04,,,10,NSE,UTINIFTETF,-1.0
101000000010512,KOTAKMAMC - KOTAKCONS,9,1,0.01,INF174KA1JE5,0,2024-10-04,,,10,NSE,CONS,-1.0
101000000010515,UTIAMC - UTISENSETF,9,1,0.01,INF789FB1X58,0,2024-10-04,,,10,NSE,UTISENSETF,-1.0
101000000010524,SDL ML 6.94% 2025,5,100,0.01,IN2420220039,0,2024-10-04,,,10,NSE,694ML25,-1.0
101000000010525,SDL RJ 7.82% 2044,5,100,0.01,IN2920220133,0,2024-10-04,,,10,NSE,782RJ44,-1.0
101000000010526,SDL HP 7.57% 2031,5,100,0.01,IN1720220046,0,2024-10-04,,,10,NSE,757HP31,-1.0
101000000010527,SDL AP 7.72% 2034,5,100,0.01,IN1020220373,0,2024-10-04,,,10,NSE,772AP34,-1.0
101000000010528,SDL AS 7.68% 2032,5,100,0.01,IN1220220066,0,2024-10-04,,,10,NSE,768AS32,-1.0
101000000010529,SDL BR 7.65% 2032,5,100,0.01,IN1320220016,0,2024-10-04,,,10,NSE,765BR32,-1.0
10100000001053,UFLEX LIMITED,0,1,0.05,INE516A01017,0,2024-10-04,,,10,NSE,UFLEX,-1.0
101000000010530,SHARDA MOTOR INDS LTD,0,1,0.05,INE597I01028,0,2024-10-04,,,10,NSE,SHARDAMOTR,-1.0
101000000010531,SDL GJ 7.61% 2032,5,100,0.01,IN1520220071,0,2024-10-04,,,10,NSE,761GJ32,-1.0
101000000010532,SDL KL 7.85% 2035,5,100,0.01,IN2020220025,0,2024-10-04,,,10,NSE,785KL35,-1.0
10100000001054,GOI LOAN  5.15% 2025,6,1,0.01,IN0020200278,0,2024-10-04,,,10,NSE,515GS2025,-1.0
101000000010540,SDL MZ 7.74% 2033,5,100,0.01,IN2520220046,0,2024-10-04,,,10,NSE,774MZ33,-1.0
101000000010541,SDL NL 7.67% 2032,5,100,0.01,IN2620220037,0,2024-10-04,,,10,NSE,767NL32,-1.0
101000000010543,SDL RJ 7.65% 2032,5,100,0.01,IN2920220125,0,2024-10-04,,,10,NSE,765RJ32,-1.0
101000000010544,SDL TN 7.64% 2032,5,100,0.01,IN3120220105,0,2024-10-04,,,10,NSE,764TN32,-1.0
101000000010545,SDL TS 7.84% 2036,5,100,0.01,IN4520220109,0,2024-10-04,,,10,NSE,784TS36,-1.0
101000000010551,SDL HP 7.89% 2037,5,100,0.01,IN1720220053,0,2024-10-04,,,10,NSE,789HP37,-1.0
101000000010553,SDL WB 7.89% 2037,5,100,0.01,IN3420220094,0,2024-10-04,,,10,NSE,789WB37,-1.0
101000000010555,SDL AP 7.82% 2042,5,100,0.01,IN1020220381,0,2024-10-04,,,10,NSE,782AP42,-1.0
101000000010557,NAVKAR CORPORATION LTD.,0,1,0.01,INE278M01019,0,2024-10-04,,,10,NSE,NAVKARCORP,-1.0
101000000010558,SDL PN 7.82% 2042,5,100,0.01,IN2820220068,0,2024-10-04,,,10,NSE,782PN42,-1.0
101000000010559,SDL HP 7.43% 2028,5,100,0.01,IN1720220038,0,2024-10-04,,,10,NSE,743HP28,-1.0
101000000010568,RAMA PHOSPHATES LIMITED,0,1,0.01,INE809A01024,0,2024-10-04,,,10,NSE,RAMAPHO,-1.0
101000000010576,NIP IND ETF NIFTY BEES,9,1,0.01,INF204KB14I2,0,2024-10-04,,,10,NSE,NIFTYBEES,-1.0
101000000010577,KRBL LIMITED,0,1,0.05,INE001B01026,0,2024-10-04,,,10,NSE,KRBL,-1.0
101000000010578,MPS LIMITED,0,1,0.05,INE943D01017,0,2024-10-04,,,10,NSE,MPSLTD,-1.0
101000000010579,MARKSANS PHARMA LIMITED,0,1,0.05,INE750C01026,0,2024-10-04,,,10,NSE,MARKSANS,-1.0
101000000010580,TRANSPORT CORPN OF INDIA,0,1,0.05,INE688A01022,0,2024-10-04,,,10,NSE,TCI,-1.0
101000000010585,ICICIPRAMC - ICICIMOM30,9,1,0.01,INF109KC17C7,0,2024-10-04,,,10,NSE,MOM30IETF,-1.0
101000000010590,LOYAL TEXTILE MILLS LTD,0,1,0.05,INE970D01010,0,2024-10-04,,,10,NSE,LOYALTEX,-1.0
101000000010592,SHRE PUSH CHEM & FERT LTD,0,1,0.01,INE712K01011,0,2024-10-04,,,10,NSE,SHREEPUSHK,-1.0
101000000010599,GUJARAT GAS LIMITED,0,1,0.05,INE844O01030,0,2024-10-04,,,10,NSE,GUJGASLTD,-1.0
101000000010604,BHARTI AIRTEL LIMITED,0,1,0.05,INE397D01024,0,2024-10-04,,,10,NSE,BHARTIARTL,-1.0
101000000010610,UPSURGE SEEDS OF AGRI LTD,0,300,0.05,INE0CBM01019,0,2024-10-04,,,10,NSE,USASEEDS,-1.0
101000000010619,HDFCAMC - HDFCNEXT50,9,1,0.01,INF179KC1HS2,0,2024-10-04,,,10,NSE,HDFCNEXT50,-1.0
101000000010622,SADBHAV INFRA PROJ LTD.,0,1,0.01,INE764L01010,0,2024-10-04,,,10,NSE,SADBHIN,-1.0
101000000010633,HDFCAMC - HDFCNIF100,9,1,0.01,INF179KC1HR4,0,2024-10-04,,,10,NSE,HDFCNIF100,-1.0
101000000010634,AUTOMOTIVE STAMPINGS & AS,0,1,0.05,INE900C01027,0,2024-10-04,,,10,NSE,ASAL,-1.0
101000000010637,OLECTRA GREENTECH LIMITED,0,1,0.05,INE260D01016,0,2024-10-04,,,10,NSE,OLECTRA,-1.0
101000000010638,SDL RJ 7.77% 2032,5,100,0.01,IN2920220141,0,2024-10-04,,,10,NSE,777RJ32,-1.0
101000000010639,SDL AP 7.97% 2036,5,100,0.01,IN1020220407,0,2024-10-04,,,10,NSE,797AP36,-1.0
101000000010640,SDL HR 7.95% 2037,5,100,0.01,IN1620220187,0,2024-10-04,,,10,NSE,795HR37,-1.0
101000000010642,SDL TS 7.95% 2037,5,100,0.01,IN4520220117,0,2024-10-04,,,10,NSE,795TS37,-1.0
101000000010643,SDL AP 7.96% 2040,5,100,0.01,IN1020220415,0,2024-10-04,,,10,NSE,796AP40,-1.0
101000000010644,SDL TN 7.93% 2042,5,100,0.01,IN3120220121,0,2024-10-04,,,10,NSE,793TN42,-1.0
101000000010645,SDL RJ 7.93% 2045,5,100,0.01,IN2920220158,0,2024-10-04,,,10,NSE,793RJ45,-1.0
101000000010646,SDL AS 7.54% 2028,5,100,0.01,IN1220220074,0,2024-10-04,,,10,NSE,754AS28,-1.0
101000000010647,SDL AP 7.74% 2031,5,100,0.01,IN1020220399,0,2024-10-04,,,10,NSE,774AP31,-1.0
101000000010648,SDL GJ 7.73% 2032,5,100,0.01,IN1520220089,0,2024-10-04,,,10,NSE,773GJ32,-1.0
101000000010651,SDL TN 7.75% 2032,5,100,0.01,IN3120220113,0,2024-10-04,,,10,NSE,775TN32,-1.0
101000000010652,SDL HR 7.77% 2032,5,100,0.01,IN1620220179,0,2024-10-04,,,10,NSE,777HR32,-1.0
101000000010661,PONNIE SUGARS (ERODE) LTD,0,1,0.05,INE838E01017,0,2024-10-04,,,10,NSE,PONNIERODE,-1.0
101000000010666,PUNJAB NATIONAL BANK,0,1,0.01,INE160A01022,0,2024-10-04,,,10,NSE,PNB,-1.0
101000000010676,KOTAKMAMC - KOTAKMNC,9,1,0.01,INF174KA1JF2,0,2024-10-04,,,10,NSE,MNC,-1.0
101000000010684,SHAIVAL REALITY LIMITED,0,3600,0.05,INE262S01010,0,2024-10-04,,,10,NSE,SHAIVAL,-1.0
101000000010690,BIRLASLAMC - NIFTYQLITY,9,1,0.01,INF209KB15K4,0,2024-10-04,,,10,NSE,NIFTYQLITY,-1.0
101000000010693,BIRLASLAMC - MOMENTUM,9,1,0.01,INF209KB14K7,0,2024-10-04,,,10,NSE,MOMENTUM,-1.0
10100000001071,SDL BR 5.12% 2024,5,100,0.01,IN1320200091,0,2024-10-04,,,10,NSE,512BR24,-1.0
101000000010710,VEEKAYEM FASH & APP LTD,0,500,0.05,INE0KTW01013,0,2024-10-04,,,10,NSE,VEEKAYEM,-1.0
101000000010717,TIMES GUARANTY LIMITED,0,1,0.01,INE289C01025,0,2024-10-04,,,10,NSE,TIMESGTY,-1.0
101000000010718,SDL AP 7.72% 2035,5,100,0.01,IN1020220423,0,2024-10-04,,,10,NSE,772AP35,-1.0
101000000010719,SDL AP 7.74% 2038,5,100,0.01,IN1020220431,0,2024-10-04,,,10,NSE,774AP38,-1.0
101000000010720,SDL TN 7.6% 2032,5,100,0.01,IN3120220139,0,2024-10-04,,,10,NSE,76TN32,-1.0
101000000010721,SDL BR 7.65% 2032,5,100,0.01,IN1320220024,0,2024-10-04,,,10,NSE,765BR32A,-1.0
101000000010722,GOI LOAN  7.26% 2032,6,1,0.01,IN0020220060,0,2024-10-04,,,10,NSE,726GS2032,-1.0
101000000010723,ICICIPRAMC - ICICIINFRA,9,1,0.01,INF109KC16E5,0,2024-10-04,,,10,NSE,INFRAIETF,-1.0
101000000010726,INDIAMART INTERMESH LTD,0,1,0.05,INE933S01016,0,2024-10-04,,,10,NSE,INDIAMART,-1.0
10100000001073,FOSECO INDIA LTD,0,1,0.05,INE519A01011,0,2024-10-04,,,10,NSE,FOSECOIND,-1.0
101000000010733,SPORTKING INDIA LIMITED,0,1,0.01,INE885H01029,0,2024-10-04,,,10,NSE,SPORTKING,-1.0
101000000010737,TFB 7.11% 2025 SR. 1A,2,1,0.01,INE733E07JR2,0,2024-10-04,,,10,NSE,711NTPC25A,-1.0
